ID,Site name,Longitude,Latitude,Altitude,Pinus
2053,Tibetan Plateau TS95-23 ,94.60 ,29.60 ,4065,20.9524 
2054,Tibetan Plateau TS95-24 ,94.60 ,29.60 ,4270,20.2899 
2055,Tibetan Plateau TS95-25 ,94.70 ,29.60 ,4500,19.8020 
2056,Tibetan Plateau TS95-26 ,94.70 ,29.60 ,4540,13.0653 
2057,Tibetan Plateau TS95-27 ,93.10 ,29.90 ,3580,3.0457 
2058,Tibetan Plateau TS95-28 ,92.70 ,29.90 ,4015,3.4314 
2059,Tibetan Plateau TS95-29 ,92.40 ,29.80 ,4880,2.0408 
2060,Tibetan Plateau TS95-30 ,90.80 ,29.70 ,3840,1.0695 
2061,Tibetan Plateau TS95-31 ,90.70 ,30.00 ,4100,0.9709 
2062,Tibetan Plateau TS95-32 ,90.60 ,30.10 ,4290,0.0000 
2063,Tibetan Plateau TS95-33 ,90.70 ,30.30 ,4570,3.2967 
2064,Tibetan Plateau TS95-34 ,91.10 ,30.50 ,4255,2.2857 
2065,Tibetan Plateau TS95-35 ,91.50 ,30.60 ,4610,0.0000 
2066,Tibetan Plateau TS95-36 ,92.00 ,31.40 ,4510,0.9852 
2067,Tibetan Plateau TS95-37 ,91.70 ,31.60 ,4490,5.0000 
2068,Tibetan Plateau TS95-38 ,91.60 ,31.60 ,4590,0.9804 
2069,Tibetan Plateau TS95-39 ,91.50 ,31.60 ,4560,1.9802 
2070,Tibetan Plateau TS95-40 ,92.00 ,31.40 ,4440,1.0256 
2071,Tibetan Plateau TS95-41 ,92.30 ,31.10 ,4640,2.0000 
2072,Tibetan Plateau TS95-42 ,92.50 ,31.00 ,5040,0.9901 
2073,Tibetan Plateau TS95-43 ,92.60 ,30.90 ,4735,1.9900 
2074,Tibetan Plateau TS95-44 ,92.70 ,30.80 ,4860,1.9704 
2075,Tibetan Plateau TS95-45 ,92.70 ,30.80 ,4860,4.2781 
2076,Tibetan Plateau TS95-46 ,92.80 ,30.80 ,4880,3.1915 
2077,Tibetan Plateau TS95-48 ,93.20 ,30.70 ,4450,7.4074 
2078,Tibetan Plateau TS95-49 ,93.20 ,30.70 ,4450,2.2472 
2079,Tibetan Plateau TS95-50 ,93.20 ,30.70 ,4450,0.0000 
2080,Tibetan Plateau TS95-51 ,93.20 ,30.70 ,4450,2.9412 
2081,Tibetan Plateau TS95-52 ,92.20 ,30.70 ,4450,2.9703 
2082,Tibetan Plateau TS95-53 ,92.20 ,30.70 ,4450,1.0050 
2083,Tibetan Plateau TS95-54 ,92.20 ,30.70 ,4450,3.7383 
2084,Tibetan Plateau TS95-55 ,92.20 ,30.70 ,4450,2.9703 
2085,Tibetan Plateau TS95-56 ,93.10 ,30.70 ,4640,1.4925 
2086,Tibetan Plateau TS95-57 ,93.00 ,30.70 ,4745,4.0609 
2087,Tibetan Plateau TS95-58 ,92.90 ,30.80 ,4830,4.9505 
2088,Tibetan Plateau TS95-59 ,92.60 ,30.80 ,4745,1.0417 
2089,Tibetan Plateau TS95-60 ,92.10 ,31.20 ,4545,1.0471 
2090,Tibetan Plateau TS95-61 ,90.60 ,29.30 ,3710,1.0204 
2091,Tibetan Plateau TS95-62 ,90.60 ,29.20 ,4794,0.9709 
2092,Tibetan Plateau TS95-63 ,90.50 ,29.20 ,4455,0.9852 
2093,Tibetan Plateau TS99-01 ,91.40 ,31.50 ,4510,0.9479 
2094,Tibetan Plateau TS99-02 ,92.00 ,31.60 ,4521,1.9802 
2095,Tibetan Plateau TS99-03 ,92.10 ,31.60 ,4410,1.0363 
2096,Tibetan Plateau TS99-04 ,90.60 ,32.00 ,4500,2.8986 
2097,Tibetan Plateau TS99-05 ,90.70 ,32.00 ,4570,0.9479 
2098,Tibetan Plateau TS99-06 ,90.70 ,32.00 ,4570,0.9804 
2099,Tibetan Plateau TS99-07 ,90.70 ,32.00 ,4585,3.7915 
2100,Tibetan Plateau TS99-09 ,90.50 ,32.00 ,4500,1.8779 
2101,Tibetan Plateau TS99-10 ,90.50 ,32.00 ,4520,0.9804 
2102,Tibetan Plateau TS99-11 ,91.90 ,32.60 ,5220,0.9901 
2103,Tibetan Plateau TS99-12 ,91.30 ,31.90 ,4600,4.0000 
2104,Tibetan Plateau TS99-13 ,92.70 ,34.50 ,4430,1.0101 
2105,Tibetan Plateau TS99-14 ,93.60 ,35.40 ,4300,1.0471 
2106,Tibetan Plateau TS99-15 ,95.50 ,37.30 ,3140,0.0000 
2107,Tibetan Plateau TS99-16 ,97.90 ,37.30 ,3100,0.0000 
2108,Tibetan Plateau TS99-17 ,99.20 ,37.20 ,3260,0.0000 
2109,Tibetan Plateau TS99-18 ,99.80 ,37.20 ,3110,0.0000 
2110,Tibetan Plateau TS99-19 ,91.60 ,31.00 ,4650,0.9709 
2111,Tibetan Plateau TS99-20 ,91.80 ,31.30 ,4510,1.0152 
2112,Tibetan Plateau TS99-21 ,90.90 ,32.00 ,4556,1.7241 
2113,Tibetan Plateau TS99-22 ,91.90 ,32.90 ,5231,1.0417 
2114,Tibetan Plateau TS99-23 ,92.10 ,33.60 ,4700,0.4926 
2115,Tibetan Plateau TS99-24 ,92.40 ,34.20 ,4570,1.0695 
2116,Tibetan Plateau TS99-25 ,94.00 ,35.70 ,4690,1.0638 
2117,Tibetan Plateau TS99-8a ,90.60 ,32.00 ,4450,1.9324 
2118,Tibetan Plateau TS99-8b ,90.60 ,32.00 ,4450,3.8647 
2119,Tibetan Plateau WHA-25,99.67 ,38.48 ,4500,0.7035 
2120,Tibetan Plateau XX-U-1,98.10 ,34.86 ,4227,1.0070 
2121,Tibetan Plateau ZL-U-1,97.63 ,35.02 ,4284,0.0000 
2122,Tibet-F 01 ,77.20 ,39.90 ,1200,0.1116 
2123,Tibet-F 02 ,74.50 ,39.50 ,1500,0.0000 
2124,Tibet-F 03,74.90 ,38.80 ,3400,0.0000 
2125,Tibet-F 04,74.90 ,38.60 ,3360,0.0000 
2126,Tibet-F 05,74.90 ,38.30 ,4070,0.0581 
2127,Tibet-F 06,75.10 ,37.90 ,3150,0.2225 
2128,Tibet-F 07,75.40 ,37.00 ,3680,0.2803 
2129,Tibet-F 08,75.20 ,37.40 ,3600,0.2608 
2130,Tibet-F 09,75.30 ,37.60 ,3300,0.2143 
2131,Tibet-F 10 ,76.80 ,38.40 ,1340,0.1474 
2132,Tibet-F 11 ,77.10 ,36.40 ,3800,0.8772 
2133,Tibet-F 12 ,77.80 ,36.40 ,3850,0.8351 
2134,Tibet-F 13 ,79.40 ,35.60 ,4880,0.3584 
2135,Tibet-F 14 ,79.30 ,35.80 ,5100,0.1869 
2136,Tibet-F 15 ,78.20 ,36.30 ,3750,0.6303 
2137,Tibet-F 16 ,78.70 ,36.20 ,4050,0.3681 
2138,Tibet-F 17 ,77.10 ,37.20 ,2500,0.1146 
2139,Tibet-F 18 ,77.40 ,37.70 ,1500,0.0000 
2140,Tongguan Mt 6,119.82 ,31.35 ,100,14.6341 
2141,Tongguan Mt 7,119.82 ,31.35 ,100,18.3486 
2142,Tongguanshan,119.50 ,31.70 ,400,13.3630 
2143,Tongzha,110.00 ,18.90 ,800,0.0000 
2144,Ulanul Lake,90.50 ,34.87 ,4854,3.2258 
2145,Urumqui T-19,86.75 ,43.10 ,3740,0.0000 
2146,Urumqui T-21,86.75 ,43.10 ,3680,0.0000 
2147,Urumqui T-23,86.75 ,43.10 ,3706,0.0000 
2148,Urumqui T-27,86.75 ,43.10 ,3880,0.0000 
2149,Urumqui T-29,86.75 ,43.10 ,3850,0.0000 
2150,Urumqui T-32,86.75 ,43.10 ,3760,0.0000 
2151,Urumqui T-33,86.75 ,43.10 ,3760,0.0000 
2152,Urumqui T-34,86.75 ,43.10 ,3700,0.0000 
2153,Urumqui T-35,86.75 ,43.10 ,3600,0.0000 
2154,Urumqui T-36,86.75 ,43.10 ,3570,0.0000 
2155,Urumqui T-38,86.75 ,43.10 ,3520,0.0000 
2156,Weichang,117.75 ,41.93 ,1540,78.4512 
2157,Weining,104.43 ,26.96 ,2451,35.8536 
2158,Wenchang,110.70 ,19.60 ,45,2.7523 
2159,Wudaoliang 1,93.15 ,35.26 ,4676,1.6949 
2160,Wudaoliang 2,92.80 ,34.62 ,4758,5.9524 
2161,Wulungu Lake,87.30 ,47.10 ,650,0.9050 
2162,Wumaqu,91.10 ,30.40 ,4737,1.0000 
2163,Wuqia,83.50 ,43.20 ,0,0.2874 
2164,Wutong Mt 1,114.23 ,22.57 ,197,6.3721 
2165,Wutong Mt 2,114.22 ,22.57 ,223,7.9748 
2166,Wutong Mt 3,114.23 ,22.57 ,170,7.4655 
2167,Wuxi,120.30 ,31.55 ,40,26.3158 
2168,Wuzhi Mt 01,109.70 ,18.90 ,900,1.3772 
2169,Wuzhi Mt 02,109.70 ,18.90 ,1380,0.0000 
2170,Wuzhi Mt 03,109.70 ,18.90 ,1850,75.1800 
2171,Wuzhi Mt 04,109.70 ,18.90 ,1280,13.4446 
2172,Wuzhi Mt 05,109.70 ,18.90 ,1640,0.0000 
2173,Wuzhi Mt 06,109.70 ,18.90 ,1180,1.8502 
2174,Wuzhi Mt 07,109.70 ,18.91 ,1480,1.0046 
2175,Wuzhi Mt 08,109.71 ,18.92 ,1520,0.0000 
2176,Wuzhi Mt 09,109.70 ,18.90 ,820,0.0000 
2177,Wuzhi Mt 10,109.70 ,18.90 ,1000,0.0000 
2178,Wuzhi Mt 11,109.70 ,18.90 ,1855,2.6100 
2179,Wuzhi Mt 12,109.70 ,18.90 ,840,0.7455 
2180,Wuzhi Mt 13,109.70 ,18.90 ,1867,5.2239 
2181,Wuzhi Mt 14,109.70 ,18.90 ,1130,0.0000 
2182,Wuzhi Mt 15,109.70 ,18.90 ,1700,13.6732 
2183,Wuzhi Mt 16,109.69 ,18.90 ,1235,3.0050 
2184,Wuzhi Mt 17,109.69 ,18.90 ,880,0.0000 
2185,Wuzhi Mt 18,109.70 ,18.90 ,860,0.0000 
2186,Wuzhi Mt 19,109.70 ,18.90 ,1580,1.0301 
2187,Wuzhi Mt 20,109.70 ,18.90 ,1550,0.0000 
2188,Wuzhi Mt 21,109.70 ,18.90 ,1080,0.0000 
2189,Wuzhi Mt 22,109.70 ,18.90 ,1330,3.6375 
2190,Wuzhi Mt 23,109.70 ,18.90 ,1660,4.4239 
2191,Wuzhi Mt 24,109.70 ,18.91 ,1500,1.9990 
2192,Wuzhi Mt 25,109.70 ,18.90 ,1620,0.0000 
2193,Wuzhi Mt 26,109.70 ,18.90 ,1376,0.3652 
2194,Wuzhi Mt 27,109.70 ,18.91 ,1430,0.0000 
2195,Wuzhi Mt 28,109.70 ,18.90 ,1860,66.3666 
2196,Wuzhi Mt 29,109.70 ,18.90 ,980,10.7100 
2197,Wuzhi Mt 30,109.70 ,18.90 ,1600,2.1496 
2198,Wuzhi Mt 31,109.70 ,18.90 ,1820,19.8600 
2199,Wuzhi Mt 32,109.70 ,18.90 ,1780,3.7500 
2200,Wuzhi Mt 33,109.70 ,18.90 ,1030,0.0000 
2201,Wuzhi Mt 34,109.70 ,18.90 ,1080,0.0000 
2202,Xiangpishan,99.61 ,36.75 ,3817,0.0000 
2203,Xiangtou Mt 1,114.36 ,23.26 ,573,25.9522 
2204,Xiangtou Mt 2,114.37 ,23.27 ,850,17.7171 
2205,Xiangtou Mt 3,114.37 ,23.27 ,838,33.4688 
2206,Xiangtou Mt 4,114.37 ,23.27 ,859,18.4003 
2207,Xiangtou Mt 5,114.37 ,23.27 ,705,6.7569 
2208,Xiangtou Mt 6,114.36 ,23.26 ,341,18.5150 
2209,Xiangtou Mt 7,114.37 ,23.27 ,859,45.5546 
2210,Xiaoheigou 01,119.73 ,31.23 ,100,10.0467 
2211,Xiaoheigou 02,119.73 ,31.23 ,100,35.1573 
2212,Xiaoheigou 03,119.73 ,31.23 ,110,66.2162 
2213,Xiaoheigou 04,119.73 ,31.23 ,110,37.0588 
2214,Xiaoheigou 05,119.73 ,31.23 ,150,38.8792 
2215,Xiaoheigou 06,119.73 ,31.23 ,180,23.7519 
2216,Xiaoheigou 07,119.73 ,31.23 ,210,7.0243 
2217,Xiaoheigou 08,119.73 ,31.23 ,220,16.9524 
2218,Xiaoheigou 09,119.73 ,31.23 ,230,20.8763 
2219,Xiaoheigou 10,119.73 ,31.23 ,250,28.6624 
2220,Xiaonan,125.22 ,43.88 ,209,6.0606 
2221,Xiaoshazi,90.83 ,36.78 ,4106,0.0000 
2222,Xiaoxinganling,129.70 ,48.37 ,486,32.4484 
2223,Xiehu CK10,109.12 ,21.47 ,20,6.3830 
2224,Xinfeng 1,114.18 ,24.18 ,512,8.3270 
2225,Xinfeng 2,114.20 ,24.17 ,515,13.6263 
2226,Xinfeng 3,114.19 ,24.10 ,724,15.7092 
2227,Xinfeng 4,114.20 ,24.17 ,515,4.9975 
2228,Xinjingbridge,105.49 ,26.05 ,1258,6.0724 
2229,Xiongoucuo,91.63 ,31.04 ,4637,1.5873 
2230,Xishan 1,102.45 ,25.30 ,2000,17.6211 
2231,Xishan 2,102.51 ,25.25 ,2000,18.0180 
2232,Xishan 3,102.50 ,25.21 ,2200,66.6150 
2233,Xishan 4,102.52 ,25.22 ,1900,64.0835 
2234,Xishan 5,102.53 ,25.20 ,1900,21.9941 
2235,Xiyaohu,115.90 ,28.60 ,50,59.5238 
2236,Xugecuo,90.33 ,31.97 ,4540,7.9618 
2237,Yalongwan,109.80 ,18.30 ,4,1.0417 
2238,Yangbajing,90.56 ,30.08 ,4323,0.1368 
2239,Yangchi,111.63 ,23.32 ,131,51.9181 
2240,Yangerzhuang,117.30 ,38.20 ,5,2.3669 
2241,Yangjiapo,118.68 ,40.02 ,70,1.0417 
2242,Yangpu 1,109.20 ,19.80 ,1,2.2989 
2243,Yangpu 2,109.20 ,19.80 ,2,11.3333 
2244,Yangpu 3,109.10 ,19.70 ,0,3.7037 
2245,Yangpu 4,110.80 ,18.20 ,0,1.4493 
2246,Yangpu 5,109.20 ,19.80 ,0,6.6667 
2247,Yanshan Mt 01,116.33 ,40.95 ,0,0.0000 
2248,Yanshan Mt 02,116.33 ,40.95 ,20,3.8462 
2249,Yanshan Mt 03,116.33 ,40.95 ,40,10.2041 
2250,Yanshan Mt 04,116.33 ,40.95 ,60,10.0000 
2251,Yanshan Mt 05,116.33 ,40.95 ,80,8.0000 
2252,Yanshan Mt 06,116.33 ,40.95 ,100,7.7670 
2253,Yanshan Mt 07,116.33 ,40.95 ,120,26.2500 
2254,Yanshan Mt 08,116.33 ,40.95 ,160,20.0000 
2255,Yanshan Mt 09,116.33 ,40.95 ,640,15.3846 
2256,Yanshan Mt 10,116.33 ,40.95 ,1160,61.1650 
2257,Yanshan Mt 11,116.33 ,40.95 ,1260,70.0000 
2258,Yanshan Mt 12,116.33 ,40.95 ,1350,71.4286 
2259,Yanshan Mt 13,116.33 ,40.95 ,1450,46.8085 
2260,Yanshan Mt 14,116.33 ,40.95 ,1550,39.5833 
2261,Yanshan Mt 15,116.33 ,40.95 ,1660,39.3617 
2262,Yanshan Mt 16,116.33 ,40.95 ,1760,20.8791 
2263,Yanshan Mt 17,116.33 ,40.95 ,1860,17.3469 
2264,Yanshan Mt 18,116.33 ,40.95 ,1992,9.5238 
2265,Yanshan Mt 19,116.33 ,40.95 ,2082,10.4167 
2266,Yanshengang,118.87 ,39.87 ,23,5.6180 
2267,Yanshiping,92.07 ,33.58 ,4700,8.0402 
2268,Yidun Lake,99.55 ,30.28 ,4470,16.6667 
2269,Yingde 1,113.81 ,24.16 ,246,4.9619 
2270,Yingde 2,113.36 ,24.12 ,120,47.6295 
2271,Yingde qt,113.81 ,24.16 ,246,4.9619 
2272,Yingluo Bay A1,109.73 ,21.48 ,13,14.6789 
2273,Yingluo Bay A2,109.73 ,21.48 ,13,16.8224 
2274,Yingluo Bay A3,109.73 ,21.48 ,13,16.0714 
2275,Yingluo Bay A4,109.73 ,21.48 ,13,15.2381 
2276,Yingluo Bay A5,109.73 ,21.48 ,13,30.8943 
2277,Yingluo Bay A6,109.73 ,21.48 ,13,24.5902 
2278,Yingluo Bay A7,109.73 ,21.48 ,13,21.7391 
2279,Yingluo Bay E1,109.73 ,21.48 ,13,0.0000 
2280,Yingluo Bay E2,109.73 ,21.48 ,13,0.0000 
2281,Yingluo Bay E3,109.73 ,21.48 ,13,0.0000 
2282,Yingluo Bay E4,109.73 ,21.48 ,13,0.0000 
2283,Yingluo Bay E5,109.73 ,21.48 ,13,0.0000 
2284,Yingluo Bay E6,109.73 ,21.48 ,13,0.0000 
2285,Yingluo Bay E7,109.73 ,21.48 ,13,0.0000 
2286,Yingluo Bay K1,109.73 ,21.48 ,13,7.1429 
2287,Yingluo Bay K2,109.73 ,21.48 ,13,3.7975 
2288,Yingluo Bay K3,109.73 ,21.48 ,13,18.3099 
2289,Yingluo Bay K4,109.73 ,21.48 ,13,8.2353 
2290,Yingluo Bay K5,109.73 ,21.48 ,13,6.8182 
2291,Yingluo Bay K6,109.73 ,21.48 ,13,4.1667 
2292,Yingluo Bay K7,109.73 ,21.48 ,13,6.8966 
2293,Yingluo Bay R1,109.73 ,21.48 ,13,6.7797 
2294,Yingluo Bay R2,109.73 ,21.48 ,13,4.0984 
2295,Yingluo Bay R3,109.73 ,21.48 ,13,9.5238 
2296,Yingluo Bay R4,109.73 ,21.48 ,13,4.0892 
2297,Yingluo Bay R5,109.73 ,21.48 ,13,6.3063 
2298,Yingluo Bay R6,109.73 ,21.48 ,13,6.9307 
2299,Yingluo Bay R7,109.73 ,21.48 ,13,8.6538 
2300,Yixing 1,119.80 ,31.32 ,50,15.1899 
2301,Yixing 2,119.80 ,31.32 ,50,18.5185 
2302,Yulin,109.70 ,18.20 ,10,0.0000 
2303,Yunan 1,111.38 ,23.17 ,177,49.4751 
2304,Yunan 2,111.83 ,23.10 ,22,6.0588 
2305,Yuntaishan,119.20 ,34.80 ,150,0.0000 
2306,Zengpiyan 1,110.28 ,25.28 ,50,51.1449 
2307,Zengpiyan 2,110.28 ,25.28 ,50,66.6700 
2308,Zengpiyan 3,110.28 ,25.28 ,50,83.3300 
2309,Zengpiyan 4,110.28 ,25.28 ,50,0.0000 
2310,Zengpiyan 5,110.28 ,25.28 ,50,47.6548 
2311,Zhangzhou,117.37 ,24.64 ,172,1.0862 
2312,Zhuhai 1,113.57 ,22.35 ,80,39.2979 
2313,Zhuhai 2,113.57 ,22.35 ,50,0.0000 
2314,Zigetangcuo 1,90.95 ,32.01 ,4576,4.7619 
2315,Zigetangcuo 2,90.94 ,32.01 ,4566,3.5714 
2316,Zigetangcuo 3,90.94 ,32.01 ,4575,3.4707 
2317,Zigetangcuo 4,90.94 ,32.01 ,4600,14.4615 
2318,Zigetangcuo 5,90.95 ,32.01 ,4570,4.2424 
2319,Zigetangcuo 6,90.95 ,32.02 ,4580,20.8531 
2320,Zigetangcuo 7,90.93 ,32.03 ,4560,0.8811 
2321,Zijinshan,118.60 ,32.30 ,200,10.5495 
2322,Zoige 1,102.48 ,33.71 ,3440,31.6306 
2323,Zoige 2,102.36 ,33.86 ,3438,49.6689 
2324,Zoige 3,102.74 ,34.02 ,3600,86.4553 
2325,Mo99_1,88.30 ,48.67 ,2083,8.8911 
2326,Mo99_2,88.60 ,48.57 ,2072,9.3906 
2327,Mo99_3,88.92 ,48.60 ,2493,3.5035 
2328,Mo99_4,88.88 ,48.33 ,2232,0.5994 
2329,Mo99_5,90.10 ,48.58 ,2079,28.6286 
2330,Mo99_6,90.67 ,48.28 ,2094,8.2000 
2331,Mo99_7,89.80 ,49.50 ,2097,22.7227 
2332,Mo99_8,90.60 ,49.50 ,1435,39.5792 
2333,Mo99_9,92.30 ,47.87 ,1157,6.9000 
2334,Mo99_10,93.12 ,47.95 ,1132,3.9000 
2335,Mo99_11,93.28 ,48.03 ,1132,1.3000 
2336,Mo99_12,93.57 ,48.92 ,1030,19.7802 
2337,Mo99_13,95.18 ,48.47 ,1491,1.8000 
2338,Mo99_14,94.03 ,49.98 ,931,7.8000 
2339,Mo99_15,99.40 ,51.27 ,1538,33.8338 
2340,Mo99_16,99.45 ,51.20 ,1539,44.4444 
2341,Mo99_17,99.37 ,51.38 ,1538,47.1000 
2342,Mo99_18,100.15 ,50.40 ,1650,33.6673 
2343,Mo99_19,100.15 ,50.40 ,1662,53.8000 
2344,Mo99_20,102.57 ,49.88 ,1000,32.1321 
2345,Mo99_21,102.93 ,48.82 ,1440,39.5000 
2346,Mo99_22,103.32 ,48.80 ,1540,13.1868 
2347,Mo99_23,99.55 ,48.18 ,2060,5.5110 
2348,Mo99_24,99.83 ,48.13 ,2060,30.0300 
2349,Mo99_25,99.62 ,48.18 ,2060,15.3539 
2350,Mo99_26,101.85 ,47.38 ,1700,18.1000 
2351,Mo99_27,101.93 ,47.33 ,1640,13.4000 
2352,Mo99_28,101.92 ,47.45 ,1500,10.2692 
2353,Mo99_29,101.92 ,47.42 ,1600,27.1728 
2354,Mo99_30,101.87 ,47.35 ,1650,23.0769 
2355,Mo99_31,105.67 ,46.58 ,1500,5.3946 
2356,Mo99_32,105.95 ,46.75 ,1316,3.0969 
2357,Mo99_33,105.92 ,46.90 ,1500,2.8056 
2358,Mo99_34,105.47 ,46.70 ,1550,8.0000 
2359,Mo99_35,106.28 ,45.95 ,1200,8.8000 
2360,Mo99_36,106.48 ,45.77 ,1350,5.3000 
2361,Mo99_37,106.73 ,45.77 ,1450,2.5000 
2362,Mo99_38,102.05 ,47.68 ,1400,26.7732 
2363,Mo99_39,101.85 ,47.72 ,1400,9.9099 
2364,Mo99_40,104.75 ,47.80 ,1050,31.0689 
2365,Mo99_41,105.43 ,47.87 ,1000,13.2867 
2366,Mo99_42,106.08 ,47.95 ,1195,40.0000 
2367,Mo99_43,106.57 ,48.35 ,1200,18.8000 
2368,Mo99_44,106.62 ,48.45 ,1400,9.6806 
2369,Mo99_45,106.28 ,48.90 ,780,24.4000 
2370,Mo99_46,106.13 ,49.02 ,800,14.3569 
2371,Mo99_47,105.72 ,49.37 ,750,29.4000 
2372,Mo99_48,106.27 ,49.72 ,600,29.6407 
2373,Mo99_49,106.08 ,50.20 ,560,50.1002 
2374,Mo99_50,106.17 ,50.27 ,550,73.8215 
2375,Mo99_51,105.95 ,50.03 ,600,67.7323 
2376,Mo99_52,106.92 ,49.52 ,570,69.8492 
2377,Mo99_53,106.62 ,50.25 ,600,64.9701 
2378,Mo99_54,106.87 ,47.80 ,1850,10.6000 
2379,Mo99_55,106.35 ,48.07 ,1800,86.2000 
2380,Mo99_56,109.40 ,48.13 ,1326,47.1000 
2381,Mo99_57,108.58 ,48.35 ,1600,45.8541 
2382,Mo99_58,108.67 ,48.32 ,1400,47.8521 
2383,Mo99_59,109.92 ,47.40 ,1100,26.3736 
2384,Mo99_60,114.12 ,48.22 ,800,11.5000 
2385,Mo99_61,116.88 ,47.22 ,660,13.5000 
2386,Mo99_62,117.75 ,47.67 ,600,4.3043 
2387,Mo99_63,109.33 ,46.60 ,1300,6.8931 
2388,Mo99_64,118.88 ,47.53 ,700,15.2305 
2389,Mo99_65,119.77 ,46.72 ,1050,16.1677 
2390,Mo99_66,118.70 ,47.48 ,710,7.4074 
2391,Mo99_67,108.35 ,46.33 ,1160,11.1888 
2392,Mo99_68,110.22 ,45.00 ,900,2.7944 
2393,Mo99_69,109.55 ,44.70 ,1000,3.3898 
2394,Mo99_70,111.25 ,44.75 ,1000,0.8982 
2395,Mo99_71,96.03 ,48.42 ,2100,8.2000 
2396,Mo99_72,98.52 ,47.53 ,2455,0.8000 
2397,Mo99_73,97.52 ,47.58 ,2200,2.4024 
2398,Mo99_74,95.43 ,48.60 ,1600,7.1071 
2399,Mo99_75,100.10 ,46.52 ,2029,0.5988 
2400,Mo99_76,101.85 ,46.52 ,2500,13.6000 
2401,Mo99_77,94.98 ,46.13 ,1013,4.3086 
2402,Mo99_78,95.37 ,46.25 ,1020,22.7000 
2403,Mo99_79,94.58 ,47.42 ,1400,0.7000 
2404,Mo99_80,99.33 ,51.42 ,1543,23.4000 
2405,Mo99_81,99.33 ,51.43 ,1543,7.3146 
2406,Mo99_82,99.02 ,50.17 ,1750,46.8405 
2407,Mo99_83,98.25 ,49.27 ,1700,31.6000 
2408,Mo99_84,98.02 ,48.73 ,1760,8.1081 
2409,Mo99_85,100.57 ,48.48 ,1500,22.5677 
2410,Mo99_86,100.50 ,48.45 ,1790,32.3647 
2411,Mo99_87,100.57 ,48.45 ,1500,14.4855 
2412,Mo99_88,100.45 ,48.35 ,1780,11.6349 
2413,Mo99_89,100.18 ,47.72 ,1900,21.0421 
2414,Mo99_90,100.32 ,47.70 ,1900,3.0969 
2415,Mo99_91,100.30 ,47.62 ,1900,6.7000 
2416,Mo99_92,99.92 ,47.27 ,2250,4.7712 
2417,Mo99_93,99.83 ,47.18 ,2300,12.1000 
2418,Mo99_94,99.92 ,47.17 ,2500,3.8038 
2419,Mo99_95,100.53 ,47.10 ,2300,8.3749 
2420,Mo99_96,102.62 ,46.48 ,1800,6.4128 
2421,Mo99_97,101.20 ,46.32 ,2100,1.8072 
2422,Mo99_98,100.63 ,45.45 ,1450,1.3000 
2423,Mo99_99,93.88 ,48.13 ,1200,9.1000 
2424,Mo99_100,95.25 ,47.53 ,1400,9.6000 
2425,Mo99_101,95.30 ,47.55 ,1350,2.8000 
2426,Mo99_102,95.95 ,47.40 ,1450,4.2957 
2427,S2Q,99.05 ,36.46 ,3121,0.6250 
2428,S3Q,98.50 ,37.01 ,3314,0.0000 
2429,S6Q,97.31 ,37.08 ,2848,0.0000 
2430,S7Q,97.30 ,37.21 ,3114,0.0000 
2431,S8Q,97.00 ,37.08 ,2813,3.7975 
2432,S9Q,96.55 ,37.18 ,2850,0.0000 
2433,SGLQ,93.70 ,38.80 ,2772,0.0000 
2434,hyQ,100.74 ,36.56 ,3194,1.9002 
2435,QHBQ,100.57 ,36.61 ,3196,0.4228 
2436,EhQ,100.74 ,36.56 ,3189,0.3012 
2437,Qai-09Q,94.18 ,39.06 ,2821,0.0000 
2438,SET_01,101.86 ,30.15 ,3780,17.1875 
2439,SET_02,101.87 ,30.18 ,3389,14.9001 
2440,SET_03,101.80 ,30.08 ,4211,17.3679 
2441,SET_04,100.21 ,29.47 ,4610,14.7086 
2442,SET_05,100.20 ,29.46 ,4598,20.3925 
2443,SET_06,100.19 ,29.46 ,4613,14.6629 
2444,SET_07,99.64 ,27.90 ,3263,26.5801 
2445,SET_08,99.98 ,27.83 ,3547,12.9924 
2446,SET_09,99.74 ,27.50 ,3939,15.1515 
2447,SET_10,99.73 ,27.50 ,3947,18.1430 
2448,SET_11,99.73 ,27.50 ,3958,9.6112 
2449,SET_12,99.92 ,27.18 ,3957,14.7368 
2450,SET_13,100.14 ,26.88 ,2441,30.1016 
2451,SET_14,100.16 ,26.98 ,3085,26.3736 
2452,SET_15,99.92 ,26.49 ,2189,14.8562 
2453,SET_16,100.12 ,25.92 ,1967,19.9280 
2454,SET_17,100.27 ,25.64 ,1960,27.4131 
2455,SET_19,100.65 ,25.68 ,1620,12.7413 
2456,SET_20,100.68 ,26.49 ,1504,39.6911 
2457,SET_21,100.74 ,27.73 ,2746,25.2893 
2458,SET_22,100.73 ,27.73 ,2770,24.4514 
2459,SET_23,100.72 ,27.74 ,2777,16.2791 
2460,SET_24,100.75 ,27.71 ,2700,34.7458 
2461,SET_25,102.29 ,27.82 ,1500,28.2278 
2462,SET_26,101.41 ,29.15 ,3705,14.2283 
2463,SET_27,101.45 ,29.14 ,4398,19.9870 
2464,SET_28,101.44 ,29.14 ,4408,25.4480 
2465,SET_29,101.44 ,29.14 ,4590,33.0457 
2466,SET_30,101.44 ,29.13 ,4631,33.9637 
2467,SET_31,101.33 ,29.33 ,3600,18.2810 
